Text version of loaded midi tracks
Midi events are: Cumulative-midi-time time status data1 data2 data2
Cumulative midi time starts with the first note-on event, if there is one.
The status byte is printed in hex.  All others are decimal integers.

Number of tracks: 1

Track 0: 2347 events (skipping sysex)
     21092    134 B0  64   0   0
     21178     86 90  79  50   0
     21178      0 90  70  43   0
     21188     10 90  46  35   0
     21284     96 80  79  64   0
     21294     10 80  46  64   0
     21312     18 B0  64 127   0
     21456    144 90  80  36   0
     21466     10 90  53  30   0
     21486     20 90  62  20   0
     21524     38 80  53  64   0
     21552     28 80  62  64   0
     21572     20 90  79  50   0
     21582     10 80  80  64   0
     21678     96 80  79  64   0
     21678      0 80  70  64   0
     21706     28 90  77  34   0
     21706      0 90  68  29   0
     21734     28 90  58  24   0
     21744     10 90  62  24   0
     21754     10 80  77  64   0
     21754      0 80  68  64   0
     21782     28 80  62  64   0
     21792     10 80  58  64   0
     21908    116 B0  64   0   0
     21974     66 90  77  46   0
     21974      0 90  68  40   0
     21984     10 90  51  30   0
     22070     86 80  77  64   0
     22110     40 80  51  64   0
     22128     18 B0  64 127   0
     22254    126 90  79  39   0
     22282     28 90  63  28   0
     22282      0 90  58  20   0
     22330     48 80  58  64   0
     22340     10 80  63  64   0
     22350     10 90  77  47   0
     22368     18 80  79  64   0
     22484    116 80  77  64   0
     22484      0 80  68  64   0
     22502     18 90  75  34   0
     22502      0 90  67  29   0
     22502      0 00   0   0   0
     22512     10 90  58  36   0
     22522     10 90  63  30   0
     22560     38 80  75  64   0
     22560      0 80  67  64   0
     22570     10 80  63  64   0
     22570      0 80  58  64   0
     22694    124 B0  64   0   0
     22762     68 90  46  47   0
     22772     10 90  70  58   0
     22810     38 80  70  64   0
     22838     28 80  46  64   0
     23030    192 90  74  45   0
     23050     20 90  65  45   0
     23050      0 90  58  41   0
     23078     28 B0  64 127   0
     23098     20 80  65  64   0
     23098      0 80  58  64   0
     23156     58 90  75  60   0
     23232     76 80  74  64   0
     23290     58 90  77  70   0
     23290      0 90  74  60   0
     23310     20 90  68  45   0
     23310      0 90  65  49   0
     23310      0 90  58  45   0
     23328     18 80  75  64   0
     23348     20 80  65  64   0
     23348      0 80  58  64   0
     23358     10 80  68  64   0
     23396     38 80  77  64   0
     23396      0 80  74  64   0
     23530    134 B0  64   0   0
